1282,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
28545,org.jfree.chart.block.BlockContainer,getBlocks
962,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
962,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
3208,org.jfree.chart.block.BlockContainer,getBlocks
641,org.jfree.chart.util.ParamChecks,nullNotPermitted
4606141,org.jfree.chart.block.AbstractBlock,toContentConstraint
1283,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
1283,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
641,org.jfree.chart.util.ParamChecks,nullNotPermitted
4964087,org.jfree.chart.block.AbstractBlock,toContentConstraint
962,org.jfree.chart.block.RectangleConstraint,getWidthConstraintType
963,org.jfree.chart.block.RectangleConstraint,getHeightConstraintType
70563,org.jfree.chart.title.LegendGraphic,arrangeNN
3207,org.jfree.chart.ui.Size2D,getWidth
2887,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
4490,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
11934079,org.jfree.chart.ui.RectangleInsets,extendWidth
962,org.jfree.chart.block.BlockBorder,getInsets
1284,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
962,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4798264,org.jfree.chart.ui.RectangleInsets,extendWidth
1283,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
963,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4764266,org.jfree.chart.ui.RectangleInsets,extendWidth
10662667,org.jfree.chart.block.AbstractBlock,calculateTotalWidth
2567,org.jfree.chart.ui.Size2D,getHeight
2566,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
29829,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4991670,org.jfree.chart.ui.RectangleInsets,extendHeight
1925,org.jfree.chart.block.BlockBorder,getInsets
1924,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
2566,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4959596,org.jfree.chart.ui.RectangleInsets,extendHeight
1283,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1925,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4973709,org.jfree.chart.ui.RectangleInsets,extendHeight
