962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
5112589,org.jfree.chart.ui.RectangleInsets,extendHeight
962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
963,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4469186,org.jfree.chart.ui.RectangleInsets,extendHeight
8939334,org.jfree.chart.block.AbstractBlock,calculateTotalHeight
13491911,org.jfree.chart.block.BorderArrangement,arrange
17998945,org.jfree.chart.block.BlockContainer,arrange
641,org.jfree.chart.util.ParamChecks,nullNotPermitted
4219971,org.jfree.chart.block.AbstractBlock,setBounds
8420056,org.jfree.chart.block.CenterArrangement,arrangeNN
12744909,org.jfree.chart.block.CenterArrangement,arrange
17362597,org.jfree.chart.block.BlockContainer,arrange
1603,org.jfree.chart.ui.Size2D,getWidth
962,org.jfree.chart.util.ParamChecks,nullNotPermitted
4174746,org.jfree.chart.block.AbstractBlock,setBounds
8659007,org.jfree.chart.block.FlowArrangement,arrangeNN
1604,org.jfree.chart.block.RectangleConstraint,getWidthRange
3529,org.jfree.data.Range,contains
3566945,org.jfree.chart.block.FlowArrangement,arrangeRR
8098675,org.jfree.chart.block.FlowArrangement,arrange
12389209,org.jfree.chart.block.BlockContainer,arrange
962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4594595,org.jfree.chart.ui.RectangleInsets,extendHeight
1283,org.jfree.chart.block.BlockBorder,getInsets
641,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
5323315,org.jfree.chart.ui.RectangleInsets,extendHeight
642,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4543276,org.jfree.chart.ui.RectangleInsets,extendHeight
8882242,org.jfree.chart.block.AbstractBlock,calculateTotalHeight
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1282,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4601971,org.jfree.chart.ui.RectangleInsets,extendWidth
1283,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
962,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4698514,org.jfree.chart.ui.RectangleInsets,extendWidth
641,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
962,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4367511,org.jfree.chart.ui.RectangleInsets,extendWidth
8806868,org.jfree.chart.block.AbstractBlock,calculateTotalWidth
13361049,org.jfree.chart.title.LegendTitle,arrange
3849,org.jfree.chart.title.Title,getHorizontalAlignment
18924,org.jfree.chart.JFreeChart,createAlignedRectangle2D
2566,org.jfree.chart.block.BlockParams,getGenerateEntities
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4662912,org.jfree.chart.ui.RectangleInsets,trim
8932277,org.jfree.chart.block.AbstractBlock,trimMargin
5453,org.jfree.chart.block.AbstractBlock,getFrame
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
1282,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4369115,org.jfree.chart.block.BlockBorder,draw
